language,metric,real_value,random_mean,random_std,z_score
galician,grammar_constrained:avg_complexity,5.177960278614458,6.009542034994948,0.0204818128182417,-40.600984090619946
galician,grammar_constrained:avg_arity,0.5990210843373494,0.7208986566250059,0.0032764870138611,-37.197636301336175
galician,grammar_constrained:avg_subtree_size,3.164439006024097,3.606304704233582,0.0353047164428643,-12.515769640143755
galician,grammar_constrained:avg_depth,5.505365210843373,6.605794130675549,0.0288569191247847,-38.133971096278074
galician,grammar_constrained:avg_efficiency_ratio,2.022355813257722,2.925799010430931,0.0629723349614048,-14.346668227038425
galician,projective_random:avg_dependency_length,3.2028941814892975,6.907548376411221,0.0688587876006501,-53.80074677479428
galician,projective_random:avg_complexity,5.177960278614458,6.609910504276546,0.0340531391057935,-42.05046181538275
galician,projective_random:avg_arity,0.5990210843373494,0.787399470071486,0.0020892086471287,-90.16733967333845
galician,projective_random:avg_subtree_size,3.164439006024097,3.966855692797056,0.0352594031559983,-22.75752324061821
galician,projective_random:avg_depth,5.505365210843373,7.386937451299798,0.0322759050620942,-58.296498172136296
galician,projective_random:avg_efficiency_ratio,2.022355813257722,3.029619503144886,0.027177317971303,-37.06265978676585
galician,simplified:avg_dependency_length,3.2028941814892975,3.2260403530895334,0.0,
galician,simplified:avg_complexity,5.177960278614458,4.974543144727842,0.0,
galician,simplified:avg_arity,0.5990210843373494,0.5515489103879605,0.0,
galician,simplified:avg_subtree_size,3.164439006024097,2.6272842763607933,0.0,
galician,simplified:avg_depth,5.505365210843373,5.927782663930421,0.0,
galician,simplified:avg_efficiency_ratio,2.022355813257722,2.331044822796572,0.0,
indonesian,fully_random:avg_dependency_length,3.431921824104234,11.076290390769506,0.0663165062867857,-115.27097844399698
indonesian,fully_random:avg_complexity,4.448073272589218,6.8806299438041165,0.0664683879872319,-36.59719672579052
indonesian,fully_random:avg_arity,0.5677676537585421,0.9336628960501514,0.0105016667131002,-34.841635360144956
indonesian,fully_random:avg_subtree_size,2.5833333333333335,5.725804401596908,0.0920453559509733,-34.14046299019547
indonesian,fully_random:avg_depth,4.540432801822323,4.965098975605799,0.0088223661085675,-48.135179220354104
indonesian,fully_random:avg_efficiency_ratio,3.067943939600453,5.551500786161632,0.1107507496006117,-22.42474074006142
